uid,pr_link,repo,pr_title,link_index,link,label_word,link_count,media_type,isGithub,rank
15,https://github.com/nodejs/node/pull/5404,nodejs/node,Release proposal: v0.10.43 (Maintenance),2,https://github.com/nodejs/node/pull/3887,#3887,4,,,2
15,https://github.com/nodejs/node/pull/5404,nodejs/node,Release proposal: v0.10.43 (Maintenance),3,https://github.com/nodejs/node/pull/3887,#3887,4,,,3
16,https://github.com/vercel/next.js/pull/11611,vercel/next.js,[Example] update with-tailwindcss-emotion to tailwind 1.3.3 and emotion 11 + tailwind-ui plugin,0,https://github.com/vercel/next.js/issues/11288,#11288,3,,,1
16,https://github.com/vercel/next.js/pull/11611,vercel/next.js,[Example] update with-tailwindcss-emotion to tailwind 1.3.3 and emotion 11 + tailwind-ui plugin,1,https://github.com/vercel/next.js/issues/11872,#11872,3,,,2
16,https://github.com/vercel/next.js/pull/11611,vercel/next.js,[Example] update with-tailwindcss-emotion to tailwind 1.3.3 and emotion 11 + tailwind-ui plugin,2,https://github.com/Arthie/tailwindcssinjs,@tailwindcssinjs/macro,3,,,3
17,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/5939,AUTOMATIC1111/stable-diffusion-webui,"upgrading torch, torchvision, xformers (windows), to use cu117",0,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/5939#issuecomment-1364132485,The triton error is normal on windows,3,,,1
17,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/5939,AUTOMATIC1111/stable-diffusion-webui,"upgrading torch, torchvision, xformers (windows), to use cu117",1,https://developer.download.nvidia.com/compute/redist/cudnn/v8.6.0/local_installers/11.8/,cudnn-windows-x86_64-8.6.0.163_cuda11-archive\bin,3,,,2
17,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/5939,AUTOMATIC1111/stable-diffusion-webui,"upgrading torch, torchvision, xformers (windows), to use cu117",2,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/5901,#5901,3,,,3
18,https://github.com/pytorch/pytorch/pull/41805,pytorch/pytorch,Add CUDA support for combined min/max,0,https://github.com/ezyang/ghstack,ghstack,4,,,4
18,https://github.com/pytorch/pytorch/pull/41805,pytorch/pytorch,Add CUDA support for combined min/max,1,https://github.com/pytorch/pytorch/issues/41805,#41805,4,,,1
18,https://github.com/pytorch/pytorch/pull/41805,pytorch/pytorch,Add CUDA support for combined min/max,2,https://github.com/pytorch/pytorch/issues/41804,#41804,4,,,2
18,https://github.com/pytorch/pytorch/pull/41805,pytorch/pytorch,Add CUDA support for combined min/max,3,https://our.internmc.facebook.com/intern/diff/D22671780,D22671780,4,,,3
19,https://github.com/ant-design/ant-design/pull/55121,ant-design/ant-design,feat: add useFilledProps hook,0,https://github.com/ant-design/ant-design/blob/master/.github/PULL_REQUEST_TEMPLATE_CN.md?plain=1,中文版模板 / Chinese template,3,,,3
19,https://github.com/ant-design/ant-design/pull/55121,ant-design/ant-design,feat: add useFilledProps hook,1,https://keepachangelog.com/en/1.1.0/,Keep a Changelog,3,,,2
19,https://github.com/ant-design/ant-design/pull/55121,ant-design/ant-design,feat: add useFilledProps hook,2,https://ant.design/changelog,https://ant.design/changelog,3,,,1
20,https://github.com/electron/electron/pull/25124,electron/electron,fix: make shell.moveItemToTrash return false on Windows when move is unsuccessful,0,https://github.com/electron/electron/issues/15370,#15370,7,,,1
20,https://github.com/electron/electron/pull/25124,electron/electron,fix: make shell.moveItemToTrash return false on Windows when move is unsuccessful,1,https://github.com/niik/electron-win-moveitemtotrash-test-case,https://github.com/niik/electron-win-moveitemtotrash-test-case,7,,,2
